hh,campaign_id,status,budget,spent,impressions,clicks,views,checkout,purchase,rev
00,120248383861080100,ACTIVE,100,0.35,12,0,1,1,0,0
00,120245049415260032,ACTIVE,200,0.35,15,1,1,0,0,0
00,120246145506950470,ACTIVE,50,0.34,13,0,0,0,0,0
00,120245490989600133,ACTIVE,100,0.34,4,0,0,0,0,0
00,120245750558170707,ACTIVE,100,0.34,11,2,2,0,0,0
00,120248207466280561,ACTIVE,60,0.34,7,0,1,0,0,0
00,120247568013690509,ACTIVE,100,0.34,13,0,1,0,0,0
00,120250790045220586,ACTIVE,150,0.33,15,1,1,0,0,0
00,120244153272430146,ACTIVE,100,0.33,9,0,0,0,0,0
00,120250287165040577,ACTIVE,100,0.33,6,0,0,0,0,0
00,120244447104190303,ACTIVE,40,0.33,11,0,0,0,0,0
00,120248386305620455,ACTIVE,100,0.33,14,0,0,0,0,0
00,120248469524600389,ACTIVE,81,0.33,18,0,0,0,0,0
00,120249449512110725,ACTIVE,100,0.33,17,0,0,0,0,0
00,120249975165620653,ACTIVE,80,0.32,10,0,0,0,0,0
00,120247114934220455,ACTIVE,120,0.32,11,0,0,0,0,0
00,120247512395290090,ACTIVE,225,0.32,6,0,0,0,0,0
00,120246508713670320,ACTIVE,109,0.32,12,0,1,1,1,58.769999999999996
00,120249672773520589,ACTIVE,97,0.32,7,0,0,0,0,0
00,120244761869100436,ACTIVE,100,0.31,21,0,0,0,0,0
00,120248056801340561,ACTIVE,60,0.31,7,0,0,0,0,0
00,23857604274280799,ACTIVE,80,0.29,1,0,0,0,0,0
00,120244965177310686,ACTIVE,100,0.29,14,0,1,0,0,0
00,23857604274220799,ACTIVE,80,0.29,2,0,0,0,0,0
00,120242700474080358,ACTIVE,100,0.29,4,0,0,0,0,0
00,120249316661270663,ACTIVE,100,0.29,4,0,0,0,0,0
00,120250023023480279,ACTIVE,80,0.28,8,0,0,0,0,0
00,120249105110140210,ACTIVE,132,0.28,12,0,0,0,0,0
00,120244156901670146,ACTIVE,100,0.28,17,0,1,1,0,0
00,120251769553070054,ACTIVE,110,0.28,7,0,0,0,0,0
00,120245334049540065,ACTIVE,370,0.28,6,0,1,0,0,0
00,120245972443720177,ACTIVE,90,0.27,6,0,0,0,0,0
00,120245899907660065,ACTIVE,115,0.27,10,1,2,0,0,0
00,120245038475150436,ACTIVE,100,0.27,12,0,0,0,0,0
00,120248162819270126,ACTIVE,89,0.26,6,0,0,0,0,0
00,120247312197200090,ACTIVE,100,0.26,6,0,0,0,0,0
00,120247547590960642,ACTIVE,320,0.26,12,0,0,0,0,0
00,120246962698770090,ACTIVE,425,0.26,3,0,0,0,0,0
00,120246257869250707,ACTIVE,126,0.24,8,0,0,0,0,0
00,120251271772250166,ACTIVE,30,0.24,13,0,1,0,0,0
00,120244428953860686,ACTIVE,100,0.24,15,0,1,0,0,0
00,120245880144290630,ACTIVE,80,0.24,13,0,0,0,0,0
00,120257843668650586,ACTIVE,100,0.24,7,0,0,0,0,0
00,120247195869530175,ACTIVE,225,0.23,8,0,0,0,0,0
00,120246381767620032,ACTIVE,200,0.23,9,1,1,0,0,0
00,120246024108390751,ACTIVE,500,0.23,7,0,0,0,0,0
00,120248050137610065,ACTIVE,100,0.23,9,0,1,0,0,0
00,120244837091010678,ACTIVE,104,0.23,10,0,0,0,0,0
00,120257843668740586,ACTIVE,100,0.23,13,0,1,0,0,0
00,120243593808880146,ACTIVE,300,0.23,9,0,1,1,1,106.71000000000001
00,120241067387190788,ACTIVE,85,0.23,3,0,0,0,0,0
00,120250447771000013,ACTIVE,80,0.22,3,0,1,0,0,0
00,120247438813810043,ACTIVE,200,0.22,4,0,0,0,0,0
00,120246415849650214,ACTIVE,120,0.22,7,0,0,0,0,0
00,120245899907890065,ACTIVE,115,0.22,8,1,1,0,0,0
00,120254529951780197,ACTIVE,80,0.22,7,0,0,0,0,0
00,120249672773570589,ACTIVE,97,0.22,9,0,0,0,0,0
00,120252195344970054,ACTIVE,112,0.21,5,0,0,0,0,0
00,120246508713630320,ACTIVE,109,0.21,10,0,0,0,0,0
00,120244302719050146,ACTIVE,100,0.2,4,0,0,0,0,0
00,120245861174350177,ACTIVE,200,0.2,5,0,0,0,0,0
00,120244431777030751,ACTIVE,1000,0.19,6,0,1,0,0,0
00,120243142609020146,ACTIVE,500,0.19,7,0,0,0,0,0
00,120248082904020663,ACTIVE,250,0.19,6,0,1,0,0,0
00,120246369904900032,ACTIVE,200,0.18,9,0,0,0,0,0
00,120248737641880722,ACTIVE,80,0.18,8,0,0,0,0,0
00,120250558406540368,ACTIVE,86,0.18,8,0,0,0,0,0
00,120251182287020427,ACTIVE,129,0.18,10,1,1,0,0,0
00,120243818426660705,ACTIVE,80,0.17,5,0,0,0,0,0
00,120245972443760177,ACTIVE,90,0.17,6,0,0,0,0,0
00,120245031811820436,ACTIVE,116,0.17,13,0,0,0,0,0
00,120249073253070116,ACTIVE,100,0.17,7,0,2,1,1,41.72
00,120246709429840674,ACTIVE,121,0.17,3,0,1,0,0,0
00,120248082904030663,ACTIVE,150,0.17,17,0,0,0,0,0
00,120244235259940678,ACTIVE,30,0.17,3,0,0,0,0,0
00,120248889583930116,ACTIVE,101,0.16,10,0,0,0,0,0
00,120244234919350146,ACTIVE,500,0.16,9,0,0,0,0,0
00,120242746886630788,ACTIVE,200,0.16,10,0,0,0,0,0
00,120249666267500247,ACTIVE,100,0.16,6,0,0,0,0,0
00,120242301213170065,ACTIVE,300,0.16,11,1,1,1,0,0
00,120248318269050152,ACTIVE,120,0.16,8,0,1,0,0,0
00,120245343345740686,ACTIVE,80,0.15,4,1,1,0,0,0
00,120248337634670425,ACTIVE,150,0.15,5,0,0,0,0,0
00,120245251316060477,ACTIVE,100,0.15,6,0,0,0,0,0
00,120251063106910166,ACTIVE,50,0.15,7,0,0,0,0,0
00,120248091199310642,ACTIVE,100,0.14,10,0,1,0,0,0
00,120247292031280175,ACTIVE,86,0.14,9,0,0,0,0,0
00,120248385353200168,ACTIVE,100,0.13,8,1,1,0,0,0
00,120246040085600751,ACTIVE,600,0.13,5,0,1,0,0,0
00,120245612998430455,ACTIVE,100,0.13,6,0,0,0,0,0
00,120248546074540389,ACTIVE,80,0.13,8,0,0,0,0,0
00,120257843052780586,ACTIVE,30,0.13,6,0,0,0,0,0
00,120247059696170214,ACTIVE,120,0.12,6,0,0,0,0,0
00,120257763329830586,ACTIVE,30,0.12,6,0,0,0,0,0
00,120247293641570642,ACTIVE,120,0.11,3,0,0,0,0,0
00,120249448508060725,ACTIVE,100,0.11,4,0,0,0,0,0
00,120246145189280470,ACTIVE,50,0.11,5,0,1,0,0,0
00,120245004525000780,ACTIVE,100,0.11,3,0,0,0,0,0
00,120247944389060751,ACTIVE,100,0.11,2,1,1,0,0,0
00,120247582683440509,ACTIVE,50,0.1,3,1,1,0,0,0
00,120244794017770320,ACTIVE,360,0.1,13,0,0,1,0,0
00,120235701428400210,ACTIVE,200,0.1,6,0,1,0,0,0
00,120245481989440065,ACTIVE,40,0.09,1,1,1,1,1,29.98
00,120245792848160780,ACTIVE,80,0.09,2,0,0,0,0,0
00,120249497563510589,ACTIVE,200,0.09,7,0,1,0,0,0
00,120249550517720100,ACTIVE,92,0.09,3,0,0,0,0,0
00,120244076954630146,ACTIVE,100,0.09,5,0,0,0,0,0
00,120245380678000025,ACTIVE,100,0.08,1,0,0,0,0,0
00,120247504003780425,ACTIVE,133,0.08,6,0,0,0,0,0
00,120249711938850319,ACTIVE,100,0.07,4,0,0,0,0,0
00,120246583142090674,ACTIVE,60,0.06,2,0,0,0,0,0
00,120245687813040097,ACTIVE,81,0.06,2,0,2,0,0,0
00,120248040060750126,ACTIVE,80,0.06,6,0,0,0,0,0
00,120246818759970303,ACTIVE,40,0.06,5,0,0,0,0,0
00,120247582615180509,ACTIVE,100,0.05,3,0,0,0,0,0
